Customer_ID,Name,City,Purchase_Amount
1001,Anjali Mehta,Pune,4017
1002,Vikas Sharma,Lucknow,2779
1003,Raj Verma,Indore,1065
1004,Neha Jain,Indore,2671
1005,Sneha Mishra,Bhopal,786
1006,Rohit Yadav,Indore,2126
1007,Vikas Verma,Pune,2897
1008,Priya Mehta,Nagpur,4041
1009,Anjali Verma,Pune,2715
1010,Neha Yadav,Pune,2189
1011,Sneha Patel,Nagpur,2728
1012,Sneha Mishra,Pune,4485
1013,Sneha Joshi,Jaipur,4640
1014,Raj Yadav,Delhi,1208
1015,Vikas Mishra,Delhi,4335
1016,Karan Gupta,Mumbai,896
1017,Vikas Gupta,Nagpur,2272
1018,Neha Mehta,Lucknow,691
1019,Vikas Jain,Jaipur,4160
1020,Anjali Gupta,Pune,1843
1021,Priya Jain,Indore,2244
1022,Karan Patel,Lucknow,4348
1023,Vikas Joshi,Jaipur,1887
1024,Amit Joshi,Indore,3592
1025,Neha Singh,Mumbai,3914
1026,Vikas Yadav,Lucknow,4632
1027,Priya Singh,Nagpur,1687
1028,Vikas Yadav,Jaipur,2646
1029,Amit Mishra,Pune,2069
1030,Vikas Yadav,Indore,4673
1031,Neha Sharma,Bhopal,2427
1032,Anjali Mishra,Pune,1149
1033,Sneha Mishra,Pune,3642
1034,Rohit Gupta,Bhopal,966
1035,Sneha Yadav,Mumbai,4852
1036,Anjali Jain,Pune,4212
1037,Amit Joshi,Indore,4110
1038,Amit Mehta,Indore,1233
1039,Amit Joshi,Indore,3711
1040,Neha Mehta,Indore,3653
1041,Rohit Jain,Lucknow,4104
1042,Karan Gupta,Lucknow,1334
1043,Priya Verma,Jaipur,1031
1044,Amit Jain,Jaipur,3287
1045,Amit Mishra,Nagpur,3100
1046,Sneha Patel,Lucknow,861
1047,Sneha Mishra,Jaipur,3000
1048,Pooja Jain,Indore,3737
1049,Rohit Joshi,Bhopal,2431
1050,Sneha Yadav,Bhopal,974
1051,Karan Sharma,Nagpur,1310
1052,Rohit Verma,Nagpur,4329
1053,Amit Jain,Pune,2255
1054,Amit Patel,Indore,3162
1055,Amit Joshi,Nagpur,2693
1056,Rohit Yadav,Delhi,2985
1057,Sneha Gupta,Delhi,4283
1058,Karan Sharma,Bhopal,2676
1059,Raj Jain,Bhopal,717
1060,Neha Singh,Bhopal,771
1061,Karan Yadav,Bhopal,2602
1062,Sneha Yadav,Jaipur,2397
1063,Sneha Gupta,Jaipur,3797
1064,Priya Joshi,Pune,1015
1065,Vikas Mishra,Lucknow,3189
1066,Amit Gupta,Mumbai,4205
1067,Raj Joshi,Jaipur,3681
1068,Neha Mishra,Nagpur,2855
1069,Vikas Singh,Pune,4691
1070,Raj Mishra,Nagpur,2880
1071,Rohit Mehta,Pune,2772
1072,Neha Mishra,Delhi,2593
1073,Karan Patel,Mumbai,2783
1074,Pooja Singh,Mumbai,1288
1075,Sneha Gupta,Indore,2157
1076,Sneha Singh,Pune,4994
1077,Rohit Jain,Pune,1301
